sample_id,dataset,stratum,question_len,difficulty,n_clues,n_cells,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max,cost_low,cost_high,cost_max,latency_low,latency_high,latency_max,best_setting,label
aime_000,aime,1,520,0.5,0,0,1.0,1.0,1.0,1320.6,837.8,1649.2,0.000393,0.000269,0.000498,12899.6,8580.2,16106.2,high,high
aime_001,aime,1,314,0.5,0,0,1.0,1.0,1.0,4279.4,11391.6,13282.0,0.001218,0.00322,0.003751,42752.6,117074.6,140424.8,low,low
aime_002,aime,1,339,0.5,0,0,1.0,1.0,1.0,15889.8,25377.6,30397.0,0.004465,0.007132,0.008539,177837.4,265130.8,336452.6,low,low
aime_003,aime,1,193,0.5,0,0,0.6,0.0,0.6,55073.6,65536.0,78200.2,0.015436,0.018376,0.021925,534774.8,630296.4,835024.2,low,low
aime_004,aime,1,205,0.5,0,0,1.0,1.0,1.0,5237.6,6099.2,13250.2,0.00148,0.001733,0.003737,52549.6,60327.2,135646.8,low,low
aime_005,aime,1,449,0.5,0,0,1.0,1.0,1.0,2639.4,5080.8,12431.4,0.000763,0.001458,0.003518,24174.8,48836.6,125718.8,low,low
aime_006,aime,1,339,0.5,0,0,1.0,1.0,1.0,6522.6,8879.0,21404.8,0.001844,0.002514,0.006023,66649.6,85111.8,217330.8,low,low
aime_007,aime,1,134,0.5,0,0,1.0,1.0,1.0,442.0,723.0,2039.8,0.000135,0.000225,0.000595,4668.6,7390.0,20865.0,low,low
aime_008,aime,1,425,0.5,0,0,1.0,1.0,1.0,3359.2,1940.6,5131.6,0.000959,0.000573,0.001468,34577.4,20565.0,53240.4,high,high
aime_009,aime,1,463,0.5,0,0,1.0,1.0,1.0,533.8,1301.6,1505.2,0.000171,0.000397,0.000456,5455.8,12615.0,15215.2,low,low
aime_010,aime,1,181,0.5,0,0,1.0,1.0,1.0,8698.6,14250.4,17565.2,0.00245,0.004016,0.004946,89699.6,140862.4,183790.2,low,low
aime_011,aime,1,236,0.5,0,0,1.0,1.0,1.0,3896.8,4320.8,12891.2,0.001104,0.001233,0.003635,39690.2,45209.0,141946.0,low,low
aime_012,aime,1,114,0.5,0,0,1.0,1.0,1.0,1179.4,798.0,1755.4,0.000341,0.000245,0.000515,11618.2,7909.2,17486.8,high,high
aime_013,aime,1,340,0.5,0,0,0.4,0.6,0.6,33723.2,48282.2,65511.6,0.00946,0.013547,0.018374,349212.4,483468.6,688831.0,high,high
aime_014,aime,1,236,0.5,0,0,1.0,1.0,1.0,5260.0,8176.6,18883.2,0.001489,0.002316,0.005316,56652.6,81671.8,200546.2,low,low
aime_015,aime,1,401,0.5,0,0,1.0,1.0,1.0,2835.0,1856.6,4837.8,0.000813,0.00055,0.001386,28887.0,18053.0,48340.0,high,high
aime_016,aime,1,154,0.5,0,0,1.0,1.0,1.0,2688.0,3369.0,8392.6,0.000764,0.000966,0.002374,26062.4,31306.2,84006.0,low,low
aime_017,aime,1,184,0.5,0,0,1.0,1.0,1.0,3396.6,3106.2,10087.8,0.000966,0.000896,0.002853,32368.4,27915.4,97671.2,high,high
aime_018,aime,1,571,0.5,0,0,1.0,1.0,1.0,6387.8,10764.8,22694.4,0.001817,0.003053,0.006396,61315.8,97168.8,225399.2,low,low
aime_019,aime,1,133,0.5,0,0,1.0,1.0,1.0,1460.8,2848.4,6512.0,0.000421,0.000821,0.001848,13009.2,26130.0,63309.2,low,low
aime_020,aime,1,430,0.5,0,0,1.0,1.0,1.0,5699.8,6300.2,19907.6,0.001619,0.001798,0.00561,56752.6,62946.4,211105.8,low,low
