sample_id,dataset,stratum,acc_low,acc_high,acc_max,rt_low,rt_high,rt_max
aime_000,aime,1,1.0,1.0,1.0,1320.6,837.8,1649.2
aime_001,aime,1,1.0,1.0,1.0,4279.4,11391.6,13282
aime_002,aime,1,1.0,1.0,1.0,15889.8,25377.6,30397
aime_003,aime,1,0.6,0.0,0.6,55073.6,65536,78200.2
aime_004,aime,1,1.0,1.0,1.0,5237.6,6099.2,13250.2
aime_005,aime,1,1.0,1.0,1.0,2639.4,5080.8,12431.4
aime_006,aime,1,1.0,1.0,1.0,6522.6,8879,21404.8
aime_007,aime,1,1.0,1.0,1.0,442,723,2039.8
aime_008,aime,1,1.0,1.0,1.0,3359.2,1940.6,5131.6
aime_009,aime,1,1.0,1.0,1.0,533.8,1301.6,1505.2
aime_010,aime,1,1.0,1.0,1.0,8698.6,14250.4,17565.2
aime_011,aime,1,1.0,1.0,1.0,3896.8,4320.8,12891.2
aime_012,aime,1,1.0,1.0,1.0,1179.4,798,1755.4
aime_013,aime,1,0.4,0.6,0.6,33723.2,48282.2,65511.6
aime_014,aime,1,1.0,1.0,1.0,5260,8176.6,18883.2
aime_015,aime,1,1.0,1.0,1.0,2835,1856.6,4837.8
aime_016,aime,1,1.0,1.0,1.0,2688,3369,8392.6
aime_017,aime,1,1.0,1.0,1.0,3396.6,3106.2,10087.8
aime_018,aime,1,1.0,1.0,1.0,6387.8,10764.8,22694.4
aime_019,aime,1,1.0,1.0,1.0,1460.8,2848.4,6512
aime_020,aime,1,1.0,1.0,1.0,5699.8,6300.2,19907.6
aime_021,aime,1,1.0,1.0,1.0,24437.4,48304.8,57811.6
aime_022,aime,1,1.0,1.0,1.0,5719,5122.4,7346
aime_023,aime,1,1.0,1.0,1.0,3640.2,2038,4887
aime_024,aime,1,1.0,1.0,1.0,777.6,710.6,894.2
aime_025,aime,1,1.0,1.0,1.0,12289.6,20896.2,19108.6
aime_026,aime,1,1.0,1.0,1.0,2053,1267.8,2486.4
aime_027,aime,1,1.0,0.8,0.8,7456.2,13951.6,22380.8
aime_028,aime,1,1.0,1.0,1.0,9757,11363.6,19070.4
aime_029,aime,1,1.0,1.0,1.0,11215,14832.2,25410.6
easy2hard_E2H-AMC_00037,easy2hard_amc,2,1.0,1.0,1.0,222.6,249.2,241.6
easy2hard_E2H-AMC_00125,easy2hard_amc,1,1.0,1.0,1.0,74.4,72,78.6
easy2hard_E2H-AMC_00145,easy2hard_amc,2,1.0,1.0,1.0,284.2,236.8,317.2
easy2hard_E2H-AMC_00165,easy2hard_amc,1,1.0,1.0,1.0,3518.2,792,4728.4
easy2hard_E2H-AMC_00179,easy2hard_amc,4,1.0,1.0,1.0,6089.2,12280.8,14395.2
easy2hard_E2H-AMC_00194,easy2hard_amc,1,1.0,1.0,1.0,321,336.8,693.4
easy2hard_E2H-AMC_00235,easy2hard_amc,3,0.0,0.0,0.0,12099.8,21740.6,34101.8
easy2hard_E2H-AMC_00281,easy2hard_amc,4,1.0,1.0,1.0,17887,26076.6,35202.8
easy2hard_E2H-AMC_00370,easy2hard_amc,4,1.0,1.0,1.0,14714.8,33657.6,21120.8
easy2hard_E2H-AMC_00373,easy2hard_amc,5,0.0,0.0,0.0,2117.8,2377.4,4602.6
easy2hard_E2H-AMC_00376,easy2hard_amc,4,1.0,1.0,1.0,12456.6,16953.8,29626.8
easy2hard_E2H-AMC_00460,easy2hard_amc,4,0.0,0.0,0.0,10499.2,13311.4,36344.2
easy2hard_E2H-AMC_00467,easy2hard_amc,1,1.0,1.0,1.0,1793.8,1165.4,2854
easy2hard_E2H-AMC_00497,easy2hard_amc,1,1.0,1.0,1.0,197.8,156.4,196.8
easy2hard_E2H-AMC_00504,easy2hard_amc,3,0.0,0.0,0.0,705.2,681.4,840.6
easy2hard_E2H-AMC_00515,easy2hard_amc,3,0.0,0.0,0.0,8255.6,23352.8,38897
easy2hard_E2H-AMC_00523,easy2hard_amc,1,0.0,0.0,0.0,54.4,41.2,47
