id,source_id,grid_size,n_houses,n_attributes,n_cells,n_clues,complexity_rank,quintile
zebralogic_03259,lgp-test-5x6-16,5*6,5,6,30,17,882,5
zebralogic_03260,lgp-test-4x4-27,4*4,4,4,16,10,571,3
zebralogic_03261,lgp-test-6x4-15,6*4,6,4,24,18,825,5
zebralogic_03262,lgp-test-6x5-2,6*5,6,5,30,25,960,5
zebralogic_03263,lgp-test-2x2-33,2*2,2,2,4,2,7,1
zebralogic_03264,lgp-test-4x4-3,4*4,4,4,16,10,572,3
zebralogic_03265,lgp-test-2x4-5,2*4,2,4,8,4,144,1
zebralogic_03266,lgp-test-5x5-30,5*5,5,5,25,16,845,5
zebralogic_03267,lgp-test-3x5-34,3*5,3,5,15,9,501,3
zebralogic_03268,lgp-test-4x5-3,4*5,4,5,20,12,687,4
zebralogic_03269,lgp-test-2x6-24,2*6,2,6,12,5,324,2
zebralogic_03270,lgp-test-6x2-9,6*2,6,2,12,11,468,3
zebralogic_03271,lgp-test-4x2-18,4*2,4,2,8,4,145,1
zebralogic_03272,lgp-test-5x2-15,5*2,5,2,10,8,299,2
zebralogic_03273,lgp-test-5x4-2,5*4,5,4,20,14,734,4
zebralogic_03274,lgp-test-4x4-21,4*4,4,4,16,11,586,3
zebralogic_03275,lgp-test-5x6-0,5*6,5,6,30,21,920,5
zebralogic_03276,lgp-test-2x3-9,2*3,2,3,6,2,41,1
zebralogic_03277,lgp-test-5x5-12,5*5,5,5,25,19,875,5
zebralogic_03278,lgp-test-3x5-16,3*5,3,5,15,9,502,3
zebralogic_03279,lgp-test-4x3-10,4*3,4,3,12,6,346,2
zebralogic_03280,lgp-test-5x6-30,5*6,5,6,30,20,900,5
zebralogic_03281,lgp-test-3x5-30,3*5,3,5,15,8,486,3
zebralogic_03282,lgp-test-4x3-27,4*3,4,3,12,7,382,2
zebralogic_03283,lgp-test-5x2-22,5*2,5,2,10,9,314,2
zebralogic_03284,lgp-test-4x3-36,4*3,4,3,12,8,410,3
zebralogic_03285,lgp-test-5x2-14,5*2,5,2,10,8,300,2
zebralogic_03286,lgp-test-4x5-34,4*5,4,5,20,14,735,4
zebralogic_03287,lgp-test-3x6-5,3*6,3,6,18,9,602,4
zebralogic_03288,lgp-test-5x6-10,5*6,5,6,30,23,950,5
zebralogic_03289,lgp-test-5x2-30,5*2,5,2,10,7,285,2
zebralogic_03290,lgp-test-6x5-20,6*5,6,5,30,22,936,5
zebralogic_03291,lgp-test-5x6-37,5*6,5,6,30,20,901,5
zebralogic_03292,lgp-test-4x4-16,4*4,4,4,16,9,561,3
zebralogic_03293,lgp-test-6x5-4,6*5,6,5,30,20,902,5
zebralogic_03294,lgp-test-3x6-9,3*6,3,6,18,11,631,4
zebralogic_03295,lgp-test-4x6-36,4*6,4,6,24,16,799,4
zebralogic_03296,lgp-test-5x5-0,5*5,5,5,25,16,846,5
zebralogic_03297,lgp-test-2x3-13,2*3,2,3,6,3,55,1
zebralogic_03298,lgp-test-4x2-26,4*2,4,2,8,5,162,1
zebralogic_03299,lgp-test-2x3-16,2*3,2,3,6,3,56,1
